Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,city,state,country,types
Altbier,Ninkasi Brewing Company,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,"Notes:Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU\t",7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.734375,3.765625,3.817708,Eugene,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Lager - Helles,Ninkasi Brewing Company,Ninkasi Brewing Company Helles Belles,Notes:,5.3,18,25,40,25,4,31,19,15,3,11,59,5,50,3.666667,4.0,4.166667,4.0,3.666667,Eugene,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Red Ale - American Amber / Red,Ninkasi Brewing Company,Ninkasi Brewing Company Believer,"Notes:An Imperial American Red Ale.Ninkasi website:""6.9 % alc./vol. 60ibus. Always available in 22 oz bottles, and on draft.""\t",6.9,25,45,19,46,9,55,78,21,0,40,66,4,77,3.838462,3.953846,3.869231,3.861538,3.834615,Eugene,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - Oatmeal,Ninkasi Brewing Company,Ninkasi Brewing Company Oatis,"Notes:Ninkasi website:""7.5% alc/vol. 45 ibus. Always available on draft.""Recent bottles spotted with ""7.2% alc/vol."" listed\t",7.0,20,40,12,96,10,67,61,10,0,18,38,15,142,3.880282,3.975352,3.757042,3.947183,3.957746,Eugene,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Stout - Oatmeal,Ninkasi Brewing Company,Ninkasi Brewing Company Vanilla Oatis,"Notes:A delicious oatmeal stout with just enough hops to balance the copious quantities of dark roasted malts, oatmeal for a creamy smooth drinkability, and whole vanilla beans for a rich complexity. To achieve this higher level of decadence, we added in whole vanilla beans to the final stage of fermentation - the same process we use to dry hop a beer.\t",7.0,20,40,12,90,22,55,53,2,0,0,30,51,129,4.0625,4.125,3.9375,4.0625,4.125,Eugene,OR,US,"Brewery, Bar, Eatery, Beer-to-go"
Altbier,Widmer Brothers Brewing Company,Widmer Brothers Brewing Company Okto,Notes:Classified as a German Altbier by the Widmer Brothers; brewed with an (ale) Alt yeast strain.availability: early Aug. - late Oct.bitterness : 28 IBUoriginal gravity: 13.5° PLATO\t,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.366935,3.354839,3.475806,Portland,OR,US,Brewery
Blonde Ale - American,Widmer Brothers Brewing Company,Widmer Brothers Brewing Company Citra Summer Blonde Brew,Notes:,4.3,15,25,48,42,13,71,22,80,2,97,55,0,45,3.784615,3.376923,3.630769,3.669231,3.692308,Portland,OR,US,Brewery
IPA - Black / Cascadian Dark Ale,Widmer Brothers Brewing Company,Widmer Brothers Brewing Company Pitch Black IPA,"Notes:Originally brewed as a 2010 one-time release called W'10, now a seasonal called simply 'Pitch Black IPA'availability: January - Aprilbitterness: 65 IBUalcohol by volume: 6.5%original gravity: 16° PLATOMalts:Two Row Pale, Caramel 10 L, Special Roast, Carafa Special IIHops:Bittering: AlchemyAroma: Alchemy, CascadesDry Hop: Cascade T-45\t",6.5,50,70,11,45,12,84,29,18,0,15,93,8,73,3.761044,3.965863,3.761044,3.807229,3.845382,Portland,OR,US,Brewery
Wheat Beer - Hefeweizen,Widmer Brothers Brewing Company,Widmer Brothers Brewing Company Widmer Hefeweizen,"Notes:availability: year-roundbitterness: 30 IBUalcohol by volume: 4.9%original gravity: 11.75° PLATOmalts:Pale, Munich, Wheat, Caramel 40Lhops:Bittering: AlchemyAroma: Willamette, Cascade\t",4.9,10,15,12,28,9,32,23,55,4,74,56,34,66,3.077689,3.450863,3.260292,3.142762,3.403054,Portland,OR,US,Brewery
Winter Warmer,Widmer Brothers Brewing Company,Widmer Brothers Brewing Company Barrel Aged Brrrbon (Brothers' Reserve Series),Notes:Bitterness: 40 IBUAlcohol by Volume: 9.4% ABVOriginal Gravity: 20° PLATOReleased: September 2010\t,9.4,35,50,7,59,118,36,73,12,0,27,47,45,140,3.600629,3.738994,3.45283,3.522013,3.474843,Portland,OR,US,Brewery
Altbier,Southampton Publick House,Southampton Publick House Southampton Altbier,Notes:,5.0,25,50,18,49,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.588764,3.579775,3.738202,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Bock - Eisbock,Southampton Publick House,Southampton Publick House Double Ice Bock,"Notes:Southampton Double Ice Bock is based off of a traditional German-style Bock beer. This German lager beer is rich and malty and brewed to an alcohol strength of 6-7%. “Ice Bock” is produced when a Bock beer is partially frozen in order to increase it’s alcohol content. In this process, some of the water content turns to ice, effectively strengthening the flavor and alcohol of the beer. We take this process one step further. After the initial freezing, the beer is decanted off the ice and frozen a second time. The resulting beer is a deceptively smooth and amazingly strong lager.\t",18.0,25,35,15,59,79,15,171,49,0,77,13,10,119,4.022727,3.954545,4.204545,4.181818,4.136364,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
Bock - Maibock,Southampton Publick House,Southampton Publick House Southampton May Bock,Notes:,6.5,20,38,23,57,15,30,94,48,1,49,43,11,116,3.835227,3.880682,3.977273,4.113636,4.221591,Southampton,NY,US,"Brewery, Bar, Eatery, Beer-to-go"
